# ACTS Test Suite Generation: Wed Oct 27 14:57:25 CEST 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 4
# Maximum number of values per parameter: 4
# Number of configurations: 16
log_prob,log_merge,cleaning_mode,frequency
false,false,1,1
true,true,1,2
false,true,1,3
true,false,1,4
true,true,2,1
false,false,2,2
true,false,2,3
false,true,2,4
true,false,3,1
false,true,3,2
false,false,3,3
true,false,3,4
true,false,0,1
false,true,0,2
false,true,0,3
false,true,0,4
