Test number,log prob,log merge,cleaning mode,frequency,accuracy,precision,recall
0,True,True,1,1,0.79,0.69,0.81
1,False,False,1,1,0.64,0.52,0.75
2,True,False,1,2,0.44,0.4,0.88
3,False,True,1,2,0.7,0.57,0.92
4,True,True,1,3,0.58,0.48,0.97
5,False,False,1,3,0.36,0.37,0.91
6,True,True,1,4,0.51,0.44,0.99
7,False,False,1,4,0.36,0.37,0.94
8,True,False,2,1,0.76,0.65,0.82
9,False,True,2,1,0.84,0.77,0.83
10,True,True,2,2,0.76,0.66,0.78
11,False,False,2,2,0.61,0.5,0.69
12,True,False,2,3,0.56,0.45,0.61
13,False,True,2,3,0.71,0.6,0.71
14,True,False,2,4,0.46,0.38,0.66
15,False,True,2,4,0.59,0.48,0.77
16,True,True,3,1,0.82,0.74,0.82
17,False,False,3,1,0.74,0.64,0.78
18,True,False,3,2,0.6,0.49,0.7
19,False,True,3,2,0.74,0.64,0.78
20,True,True,3,3,0.67,0.54,0.79
21,False,False,3,3,0.51,0.41,0.64
22,True,True,3,4,0.55,0.45,0.79
23,False,False,3,4,0.44,0.37,0.65
24,True,True,0,1,0.79,0.7,0.79
25,False,False,0,1,0.68,0.55,0.81
26,True,False,0,2,0.47,0.41,0.86
27,False,True,0,2,0.71,0.58,0.88
28,True,True,0,3,0.64,0.52,0.91
29,False,False,0,3,0.41,0.38,0.84
30,True,True,0,4,0.56,0.47,0.94
31,False,False,0,4,0.35,0.36,0.88
